bulan, wilayah , panjang/luas (m) ,tanggal,volume_sampah_perhari(m3)
6,Jakarta Pusat,464,1,3
6,Jakarta Pusat,464,1,4
6,Jakarta Pusat,464,1,4
6,Jakarta Pusat,606,1,4
6,Jakarta Pusat,310,1,5
6,Jakarta Pusat,620,1,1
6,Jakarta Pusat,300,1,12
6,Jakarta Pusat,500,1,1
6,Jakarta Pusat,500,1,1
6,Jakarta Pusat,330,1,1
6,Jakarta Pusat,500,1,12
6,Jakarta Pusat,200,1,1
6,Jakarta Pusat,700,1,12
6,Jakarta Pusat,600,1,0
6,Jakarta Pusat,400,1,12
6,Jakarta Pusat,950,1,0
6,Jakarta Pusat,1250,1,0
6,Jakarta Pusat,700,1,12
6,Jakarta Pusat,900,1,0
6,Jakarta Pusat,900,1,0
6,Jakarta Pusat,1100,1,0
6,Jakarta Pusat,860,1,12
6,Jakarta Pusat,600,1,12
6,Jakarta Pusat,1570,1,0
6,Jakarta Pusat,250,1,1
6,Jakarta Pusat,210,1,1
6,Jakarta Pusat,220,1,1
6,Jakarta Pusat,680,1,1
6,Jakarta Pusat,550,1,12
6,Jakarta Pusat,2000,1,1
6,Jakarta Pusat,1000,1,12
6,Jakarta Pusat,1000,1,12
6,Jakarta Pusat,700,1,12
6,Jakarta Pusat,800,1,12
6,Jakarta Pusat,900,1,12
6,Jakarta Pusat,950,1,12
6,Jakarta Pusat,950,1,12
6,Jakarta Pusat,800,1,12
