id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_desa,satuan,tahun,strata_desa
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,269,DESA,2018,0
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,46,DESA,2018,1
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,229,DESA,2018,0
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,58,DESA,2018,1
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,226,DESA,2018,0
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32,DESA,2018,1
18,32,JAWA BARAT,3204,KABUPATEN BANDUNG,194,DESA,2018,0
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,47,DESA,2018,1
23,32,JAWA BARAT,3205,KABUPATEN GARUT,260,DESA,2018,0
24,32,JAWA BARAT,3205,KABUPATEN GARUT,41,DESA,2018,1
28,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,213,DESA,2018,0
29,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41,DESA,2018,1
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,195,DESA,2018,0
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,33,DESA,2018,1
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,250,DESA,2018,0
39,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,61,DESA,2018,1
43,32,JAWA BARAT,3209,KABUPATEN CIREBON,320,DESA,2018,0
44,32,JAWA BARAT,3209,KABUPATEN CIREBON,47,DESA,2018,1
48,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,246,DESA,2018,0
49,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,29,DESA,2018,1
53,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,217,DESA,2018,0
54,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,33,DESA,2018,1
58,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,208,DESA,2018,0
59,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66,DESA,2018,1
63,32,JAWA BARAT,3213,KABUPATEN SUBANG,186,DESA,2018,0
64,32,JAWA BARAT,3213,KABUPATEN SUBANG,29,DESA,2018,1
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,104,DESA,2018,0
69,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12,DESA,2018,1
73,32,JAWA BARAT,3215,KABUPATEN KARAWANG,159,DESA,2018,0
74,32,JAWA BARAT,3215,KABUPATEN KARAWANG,28,DESA,2018,1
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,145,DESA,2018,0
79,32,JAWA BARAT,3216,KABUPATEN BEKASI,20,DESA,2018,1
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,98,DESA,2018,0
84,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,58,DESA,2018,1
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,71,DESA,2018,0
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11,DESA,2018,1
93,32,JAWA BARAT,3279,KOTA BANJAR,13,DESA,2018,0
94,32,JAWA BARAT,3279,KOTA BANJAR,3,DESA,2018,1
98,32,JAWA BARAT,3201,KABUPATEN BOGOR,265,DESA,2019,0
99,32,JAWA BARAT,3201,KABUPATEN BOGOR,94,DESA,2019,1
103,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,258,DESA,2019,0
104,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,78,DESA,2019,1
108,32,JAWA BARAT,3203,KABUPATEN CIANJUR,249,DESA,2019,0
109,32,JAWA BARAT,3203,KABUPATEN CIANJUR,74,DESA,2019,1
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,136,DESA,2019,0
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,108,DESA,2019,1
118,32,JAWA BARAT,3205,KABUPATEN GARUT,294,DESA,2019,0
119,32,JAWA BARAT,3205,KABUPATEN GARUT,68,DESA,2019,1
123,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,246,DESA,2019,0
124,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,62,DESA,2019,1
128,32,JAWA BARAT,3207,KABUPATEN CIAMIS,171,DESA,2019,0
129,32,JAWA BARAT,3207,KABUPATEN CIAMIS,68,DESA,2019,1
133,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,255,DESA,2019,0
134,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,90,DESA,2019,1
138,32,JAWA BARAT,3209,KABUPATEN CIREBON,311,DESA,2019,0
139,32,JAWA BARAT,3209,KABUPATEN CIREBON,87,DESA,2019,1
